datetime,AIICO,ASI,FTNCOCOA,LIVINGTRUST,ABCTRANS,ACADEMY,AFRINSURE,AFROMEDIA,AIRTELAFRI,ALEX,BERGER,BETAGLAS,BUACEMENT,BUAFOODS,CADBURY,CAP,CAVERTON,CHAMPION,CHAMS,CHELLARAM,CHIPLC,CILEASING,ETRANZACT,CONOIL,TRANSCORP,UNILEVER,UPDCREIT,UPL,VERITASKAP,ZENITHBANK,WAPCO,UPDC,UBN,PZ,LIVESTOCK,JAIZBANK,FCMB,FIDELITYBK,UBA,TOTAL,STANBIC,SOVRENINS,RTBRISCOE,SCOA,REDSTAREX,REGALINS,PRESCO,PHARMDEKO,OANDO,OKOMUOIL,NNFM,NGXGROUP,NESTLE,NEIMETH,NB,MULTIVERSE,NAHCO,NASCON,MTNN,MAYBAKER,MCNICHOLS,LEARNAFRCA,LINKASSURE,INTBREW,GUINNESS,HONYFLOUR,GLAXOSMITH,FBNH,AFRIPRUD,COURTVILLE,CUSTODIAN,CWG,DANGCEM,ELLAHLAKES,ETERNA,ETI,FLOURMILL,LASACO,MANSARD,MBENEFIT,MEYER,MORISON,MRS,NEM,UACN,UCAP,UNIVINSURE,WAPIC,VITAFOAM
2012-01-02 10:15:00,0.159412,,0.5,,0.52,1.76,0.52,0.5,,11.15,8.45,10.591662,,,10.2,15.22,,4.03,0.5,6.43,,1.796476,3.83425,27.98,0.6,26.833591,,3.25,,12.45,41.572087,,7.508675,28.370001,0.783159,,4.1,1.5,2.0,190.0,,0.5,1.2,5.52,2.293727,0.5,8.65,3.5,17.969999,24.25,21.48,,430.0,0.936363,92.449997,5.0,6.049998,4.11,,2.87,0.425498,,0.285714,4.94452,230.0,3.22,22.700001,,,0.5,,,119.0,4.26,,10.25,55.15461,2.0,,0.5,,5.865635,,0.526315,28.128734,,0.5,0.5,3.049999
2012-02-01 10:15:00,0.147604,,0.5,,0.5,1.672,0.5,0.5,,10.6,8.26,10.591662,,,9.0,15.12,,3.46,0.5,6.43,,1.796476,3.647971,25.27,0.5,25.842448,,3.37,,13.29,37.500356,,6.119788,26.0,0.981428,,4.45,1.39,2.49,171.48,,0.5,1.21,5.52,2.341118,0.5,8.89,3.5,21.110001,21.889999,21.48,,400.0,0.854545,96.099998,5.0,5.874998,4.02,,2.88,0.425498,,0.285714,5.370452,221.61,2.01,22.0,,,0.5,,,105.0,4.26,,10.9,51.401159,2.0,,0.5,,5.578456,,0.526315,28.408,,0.5,0.52,2.749999
2012-03-01 10:15:00,0.147604,,0.5,,0.5,1.672,0.5,0.5,,10.6,8.8,10.591662,,,12.64,18.52,,3.46,0.5,6.43,,1.796476,3.469453,24.440001,0.52,27.27915,,3.45,,12.4,37.684182,,2.352429,24.0,1.011168,,4.34,1.41,2.61,139.69,,0.5,1.17,5.52,2.265292,0.5,10.7,3.5,22.01,28.01,21.48,,417.29999,0.699999,97.5,5.0,6.966664,4.5,,2.28,0.425498,,0.285714,5.537121,239.84,2.17,21.0,,,0.5,,,113.8,4.26,,11.19,53.227412,2.0,,0.5,,5.578456,,0.526315,27.926509,,0.5,0.5,2.549999
2012-04-02 10:15:00,0.1417,,0.5,,0.5,1.592,0.5,0.5,,10.6,8.06,10.066663,,,15.12,23.4,,3.29,0.5,6.43,,1.796476,3.469453,25.459999,0.52,26.833591,,3.5,,14.16,37.592271,,3.428817,22.07,0.921947,,5.49,1.34,3.74,138.95,,0.5,1.44,5.52,2.445378,0.5,11.85,3.5,16.200001,34.5,21.48,,419.0,0.70909,110.1,5.0,6.658331,5.6,,1.99,0.425498,,0.285714,5.537121,237.03,2.1,20.0,,,0.5,,,122.0,,,11.7,54.126772,2.0,,0.5,,5.578456,,0.526315,31.537695,,0.5,0.54,2.824999
2012-05-01 10:15:00,0.147604,,0.5,,0.5,1.52,0.5,0.5,,10.6,9.1,9.249996,,,15.8,25.35,,3.29,0.5,6.43,,1.796476,3.298697,25.459999,1.02,26.369845,,3.8,,13.99,37.868008,,3.298609,23.85,0.941774,,3.78,1.27,4.08,132.00999,,0.5,1.2,5.52,2.767637,0.5,14.79,3.5,16.9,30.0,21.48,,425.0,0.527272,106.5,5.0,4.999998,4.42,,1.35,0.425498,,0.285714,5.40749,223.99001,2.02,20.0,,,0.5,,,112.25,4.26,,11.39,54.603983,2.0,,0.5,,5.578456,,0.526315,32.076967,,0.5,0.5,2.733332
2012-06-01 10:15:00,0.147604,,0.5,,0.5,1.312,0.5,0.5,,10.6,8.54,9.249996,,,14.98,24.0,,3.29,0.5,6.43,,1.796476,3.135703,19.610001,1.08,27.288243,,4.19,,13.75,37.684182,,3.237845,25.5,0.981428,,3.23,1.14,3.66,125.0,,0.5,2.11,5.52,2.833985,0.5,14.73,3.17,13.44,29.5,21.48,,446.25,0.690908,101.23,5.0,4.999998,4.48,,1.87,,,0.285714,5.537121,228.0,2.01,23.25,,,0.5,,,110.0,4.26,,10.8,52.309698,2.0,,0.5,,5.305636,,0.526315,30.719159,,0.5,0.84,2.741666
2012-07-02 10:15:00,0.147604,,0.5,,0.5,1.312,0.5,0.5,,10.55,8.0,8.791663,,,14.3,24.1,,3.28,0.5,6.11,,1.796476,2.98047,25.5,0.98,31.825675,,4.35,,14.4,40.717298,,3.810761,24.51,1.368051,,3.13,1.36,4.39,133.0,,0.5,1.5,5.52,2.843463,0.5,15.34,3.17,14.0,30.0,21.48,,500.0,0.690908,119.11,5.0,4.991665,4.63,,1.55,0.425498,,0.285714,5.259339,242.0,1.91,28.1,,,0.5,,,114.0,,,10.26,48.179985,2.0,,0.5,,5.305636,,0.526315,32.259932,,0.5,0.63,2.741666
2012-08-01 10:15:00,0.147604,,0.5,,0.5,1.312,0.5,0.5,,10.55,7.63,8.35833,,,17.85,29.0,,3.28,0.5,5.81,,1.796476,2.98047,19.73,0.89,32.125747,,4.52,,15.38,40.450751,,4.42708,22.860001,1.348224,,3.0,1.4,4.52,128.00999,,0.5,1.8,5.42,2.4359,0.5,15.0,3.02,14.0,31.5,21.48,,550.0,0.690908,123.0,5.0,4.499998,4.7,,1.33,0.425498,,0.285714,7.796415,252.5,2.0,31.799999,,,0.5,,,114.1,,,10.3,49.097699,2.0,,0.5,,4.795892,,0.526315,34.195526,,0.5,0.55,2.499999
2012-09-03 10:15:00,0.168268,,0.5,,0.5,1.256,0.5,0.5,,10.55,8.01,7.941663,,,23.950001,28.9,,3.44,0.5,5.71,,1.796476,2.98047,19.700001,1.15,38.290834,,3.95,,16.299999,51.471078,,6.519093,25.299999,1.596059,,3.2,1.76,4.5,130.0,,0.5,1.86,5.42,2.843463,0.5,15.0,3.02,12.21,37.009998,21.48,,580.0,1.045453,137.0,5.0,4.791665,5.77,,1.65,0.40464,,0.285714,12.018701,260.0,2.28,36.0,,,0.5,,,123.0,,,11.12,56.595421,2.0,2.274995,0.5,,3.72615,,0.526315,38.519322,,0.5,0.61,2.549999
2012-10-01 10:15:00,0.180077,,0.5,,0.5,3.28,0.5,0.5,,,8.01,8.749997,,,28.0,32.02,,3.99,0.5,5.71,,1.796476,2.98047,20.790001,1.02,37.636133,,4.83,,18.02,51.471078,,6.805551,26.0,1.635713,,3.4,2.05,4.58,125.0,,0.5,1.69,5.42,2.985636,0.5,14.46,2.87,10.94,34.5,20.41,,675.0,0.999999,121.2,5.0,4.858331,5.9,,1.6,0.40464,,0.285714,11.805735,263.41,2.17,39.900002,,,0.5,,,120.11,1.55,,11.95,60.578303,2.0,2.076662,0.5,,3.546663,,0.526315,38.519322,,0.5,0.5,3.349999
